iter	RMSE
457	0.3132790241
458	0.3132261579
459	0.3131305147
460	0.3130466218
461	0.312975875
462	0.3129372206
463	0.3128853376
464	0.3128411933
465	0.3127382763
466	0.3126695533
467	0.312659799
468	0.3126354496
469	0.3125823955
470	0.312525056
471	0.312469997
472	0.3123824397
473	0.3123368225
474	0.3123136496
475	0.3122771989
476	0.3122314929
477	0.312185162
478	0.3121287157
479	0.3120582809
480	0.3120101598
481	0.3119883142
482	0.3119503148
483	0.3119207678
484	0.3118539735
485	0.3117882831
486	0.3116778819
487	0.3116098257
488	0.3115561553
489	0.3114776134
490	0.3114559857
491	0.3114371704
492	0.3113465481
493	0.3112566428
494	0.3111531269
495	0.3110695814
496	0.3109908162
497	0.3108762124
498	0.3108354395
499	0.3107948561
9081
499	0.3049809509
