iter	RMSE
0	0.6585729908
1	0.6559508362
2	0.6533669061
3	0.6508223103
4	0.6483349555
5	0.6458886879
6	0.6434560987
7	0.6410685585
8	0.6387148721
9	0.6364064204
10	0.6341466153
11	0.6319045495112	0.629680973
13	0.627498514
114	0.4476413053115	0.4422535926116	0.4375411162117	0.433127425118	0.4294412113119	0.4250735022020	0.4219403072121	0.4189170196
22	0.4155506941
23	0.412903688
24	0.4103922636
25	0.4077520619
26	0.4057624335
27	0.4040145708
28	0.4023278729
29	0.3999352891
30	0.398268074
31	0.3963919947
32	0.3949238751
33	0.3937094339
34	0.3924133287
35	0.3912278068
36	0.3902848472
37	0.3891279388
38	0.3881991266
39	0.3870749736
40	0.3859217889
41	0.3850037095
42	0.3838284474
43	0.3829678745
44	0.3821128094
45	0.381210034
46	0.3804402515
47	0.3798619842
48	0.3788419231
49	0.3780652363
50	0.3771051923
51	0.376606459
52	0.3760595129
53	0.3756138733
54	0.3748082083
55	0.3742960656
56	0.3733810005
57	0.3727528194
58	0.3721046039
59	0.3718385429
60	0.3711408377
61	0.3706810421
62	0.3701248773
63	0.3695908914
64	0.3692223684
65	0.3689071046
66	0.3682715426
67	0.3678001415
68	0.3673876136
69	0.3670106347
70	0.3664279796
71	0.3659184262
72	0.3653956512
73	0.3648421196
74	0.3644804448
75	0.3639343467
76	0.3634811425
77	0.3630378837
78	0.3624751401
79	0.362062693
80	0.3616481765
81	0.3614834873
82	0.361216469
83	0.360882097
84	0.3605809009
85	0.3601890601
86	0.3598651229
87	0.359419851
88	0.3590173211
89	0.3585531974
90	0.3583121142
91	0.3578405684
92	0.35739427
93	0.3571314991
94	0.3567695923
95	0.3564804709
96	0.3562596938
97	0.3558793133
98	0.3555941646
99	0.3554336613
100	0.3553468099
101	0.3549628816
102	0.3547141219
103	0.3545195039
104	0.354373981
105	0.3539669079
106	0.3537535494
107	0.3537534746
108	0.353339326
109	0.3530918254
110	0.3526970452
111	0.3523793014
112	0.3521674748
113	0.3519828711
114	0.3518533372
115	0.3517115805
116	0.3517115239
117	0.351463201
118	0.351200519
119	0.3508715133
120	0.3505479809
121	0.3503670474
122	0.3501956452
123	0.3498529824
124	0.34946023
125	0.3492410451
126	0.34901879
127	0.3487696453
128	0.3484562345
129	0.3482063401
130	0.348021602
131	0.3478738319
132	0.3475346657
133	0.3474172681
134	0.3472040951
135	0.3469808749
136	0.3467296831
137	0.3464849082
138	0.346302509
139	0.3460985076
140	0.3457604046
141	0.3454514871
142	0.3452897172
143	0.345146918
144	0.3449197416
145	0.3447983493
146	0.3446737489
147	0.3444383995
148	0.3442603644
149	0.3440883075
150	0.3437617443
151	0.3436046797
152	0.3434422198
153	0.3432508571
154	0.3430678254
155	0.3428059996
156	0.3427170282
157	0.342639543
158	0.3424586277
159	0.3423061247
160	0.3420152593
161	0.3419082021
162	0.3417292589
163	0.3415582244
164	0.3414325723
165	0.3413266404
166	0.3411337062
167	0.3410441957
168	0.3408521545
169	0.3406627444
170	0.3404809212
171	0.3403060186
172	0.3402370032
173	0.3401845114
174	0.3400392906
175	0.3399045433
176	0.3397538639
177	0.339599356
178	0.3395971755
179	0.3393019219
180	0.3391523265
181	0.3389377187
182	0.3388161412
183	0.3386974272
184	0.3385050652
185	0.338338239
186	0.3382187757
187	0.3380746094
188	0.3379714641
189	0.3377181923
190	0.3375104212
191	0.3373991493
192	0.3372231683
193	0.3370084293
194	0.3369204772
195	0.336851955
196	0.3366920177
197	0.3366294572
198	0.3365068905
199	0.3364533827
200	0.3362900579
201	0.336049885
202	0.3358478215
203	0.3357255888
204	0.3356379699
205	0.3355120399
206	0.3353507803
207	0.3352083532
208	0.3350513162
209	0.3349588568
210	0.3348109454
211	0.3348094452
212	0.3346168076
213	0.3344412096
214	0.3342546084
215	0.3341226538
216	0.3340000728
217	0.3337623931
218	0.3336929788
219	0.3335474665
220	0.333351634
221	0.3331318699
222	0.332958035
223	0.3328052732
224	0.3326512163
225	0.3325717488
226	0.3323128993
227	0.3321755664
228	0.3320214517
229	0.3317666598
230	0.3315974477
231	0.331527688
232	0.331389122
233	0.3312872062
234	0.3311263375
235	0.3309696262
236	0.3308197001
237	0.3306408385
238	0.3305496152
239	0.3304841099
240	0.3303844701
241	0.3302259123
242	0.330208212
243	0.3300911613
244	0.3300263555
245	0.32989069
246	0.329775707
247	0.3295882424
248	0.3294464095
249	0.3293665532
250	0.3292890313
251	0.3291722802
252	0.329004255
253	0.3288815443
254	0.3287222247
255	0.328714342
256	0.3285621418
257	0.3284685054
258	0.3283080778
259	0.3281729929
260	0.3279980668
261	0.327834931
262	0.3277761456
263	0.327617144
264	0.3275540723
265	0.3275149305
266	0.3274411083
267	0.3273725858
268	0.3273290175
269	0.3271796148
270	0.3270987839
271	0.327023973
272	0.3269388497
273	0.3268095623
274	0.3267572396
275	0.3266511888
276	0.3265496144
277	0.326465678
278	0.3264407197
279	0.3264081379
280	0.32636185
281	0.3262312536
282	0.3260660518
283	0.3260069156
284	0.3259581764
285	0.3258541929
286	0.325771385
287	0.3257453347
288	0.3256942922
289	0.3256851277
290	0.3255618911
291	0.3254473304
292	0.325389696
293	0.3252746604
294	0.3252541969
295	0.3251110003
296	0.3250405189
297	0.3249297141
298	0.3247884103
299	0.3247425582
300	0.3247037287
301	0.3245907566
302	0.3245458673
303	0.3245094939
304	0.3244762942
305	0.3244112065
306	0.3243417674
307	0.3242499891
308	0.3241471539
309	0.3241217308
310	0.323968647
311	0.3238802128
312	0.3238669297
313	0.3237325429
314	0.3235741961
315	0.3234245664
316	0.323308297
317	0.3232913852
318	0.323270449
319	0.3231799473
320	0.3230706923
321	0.3230128689
322	0.322963861
323	0.3229245245
324	0.3228186364
325	0.3227111288
326	0.3226527927
327	0.322585016
328	0.3224676484
329	0.3224105005
330	0.3223516195
331	0.3222816477
332	0.3221837585
333	0.3220561429
334	0.3220074815
335	0.3219298988
336	0.3218218789
337	0.3217420836
338	0.3216680592
339	0.3216059534
340	0.3215559268
341	0.3214482328
342	0.3214350375
343	0.3214106576
344	0.321376614
345	0.3212450785
346	0.3211998441
347	0.321103002
348	0.3210024851
349	0.3209207584
350	0.3208617668
351	0.3207743469
352	0.3207280435
353	0.3206303862
354	0.3205017277
355	0.3204246901
356	0.3202773599
357	0.3202314253
358	0.3201940011
359	0.320127967
360	0.3200814208
361	0.3199256678
362	0.3198575
363	0.3197887025
364	0.3196966487
365	0.3196584837
366	0.3196400394
367	0.3195143224
368	0.3193433766
369	0.3192347687
370	0.319099971
371	0.3190275751
372	0.3189486928
373	0.3188673941
374	0.3187329527
375	0.3185772483
376	0.3184931219
377	0.3183832142
378	0.3183259813
379	0.3182581511
380	0.3181823787
381	0.3181247667
382	0.3180900559
383	0.3180055747
384	0.3179547651
385	0.317881821
386	0.3178129906
387	0.3177553657
388	0.3177098972
389	0.317567922
390	0.3174667776
391	0.3173901104
392	0.3172933166
393	0.3172101036
394	0.3171918686
395	0.3171329422
396	0.3170712593
397	0.3169666673
398	0.3168816031
399	0.3168326881
400	0.3167593237
401	0.3166611101
402	0.3165957079
403	0.3165631839
404	0.3164853962
405	0.3164791657
406	0.3164535541
407	0.3164010743
408	0.3163292698
409	0.3162985988
410	0.316259049
411	0.3161859123
412	0.3161341835
413	0.3160335516
414	0.3160130505
415	0.3159869253
416	0.3158710741
417	0.3158222768
418	0.3157430174
419	0.3156719149
420	0.3156079094
421	0.3155409627
422	0.3154445684
423	0.3153680826
424	0.3153156766
425	0.3152787922
426	0.3152481721
427	0.3151606223
428	0.315056248
429	0.3149724878
430	0.3149078161
431	0.3147997243
432	0.3147708362
433	0.3146760398
434	0.3145818926
435	0.3145707704
436	0.314482553
437	0.314432914
438	0.314344555
439	0.3143047298
440	0.3142552219
441	0.3141501665
442	0.3141400322
443	0.3141209173
444	0.3141000618
445	0.3140899303
446	0.3140399152
447	0.3139705623
448	0.3139296744
449	0.3138934902
450	0.3138206743
451	0.3137477738
452	0.3136726478
453	0.3135988466
454	0.3135040863
455	0.3134643234
456	0.3133700059
